,tid,userId,fid,typeId,domainId,topicId,nickName,subject,content,dateline,ip,stateInfo,traceInfo,processInfo,hasReported,favNum,forumName,typeName,domainName,sourceName,answerId,answerContent,answerDateline,answerOrganization,userType,threadState,publicAttachment,userFavStatus,grade,gradeLevel,gradeManner,gradeSpeed,trashRecheckState,attachment,threadsCheckTime,from,shisiwu,date
0,14091060,6486378,5069,5,,116,Z***,关于疫情防控常态化的一点建议,特别是对于北上广深等大城市而言，远郊的备用方舱医院不仅可以快速应付突发本土疫情，还可以用于境外输入病例的隔离，防止其在市区内造成疫情传...,1649648762,49.93.166.*,待回复,待回复,未交办,0,0,国家卫生健康委员会主任、党组书记马晓伟,建言,,手机浏览器,,,,,0,1,,,,,,,0,0,1649668674, 江苏省 南京市,False,2022-04-11
1,14085819,2379034,555,5,12.0,116,勇***,从吉林抗疫，为上海提点建议,阻断病毒传播，我们在不流动的人口中，找到病毒携带者和接触者，有效隔离医疗，找病毒携带者最重要手段就是核酸检测，但全员核酸检测，应该是分...,1649598399,39.144.100.*,待回复,待回复,未交办,0,0,上海市委书记李强,建言,医疗,客户端,,,,,0,1,,,,,,,0,0,1649642084, 北京市,False,2022-04-10
2,14083701,6483039,5055,5,,0,W***,关于疫情期间行程码是否可以精确到某市某区的建,带星人员到了当地要么被劝返，要么自费隔离，加大了生活成本。,1649583180,117.136.86.*,待回复,待回复,未交办,0,0,工业和信息化部部长、党组书记肖亚庆,建言,,微信小程序,,,,,0,1,,,,,,,0,0,1649636609, 北京市,False,2022-04-10
3,14083565,2704295,1044,6,7.0,0,W***,怡莱酒店损坏翡翠华庭西隔墙，占用小区内部通道,我是翡翠华庭小区业主之一，4.6号早晨，迎江区新冠隔离点—怡莱酒店，私自砸坏翡翠华庭小区西隔墙，说市政府下文通知，将此处围墙改造成酒店...,1649581847,120.242.209.*,办理中,待回复,线下交办,0,0,安庆市市长张君毅,求助,城建,微信小程序,,,,,0,1,0.0,,,,,,0,1,1649664494, 北京市,False,2022-04-10
4,14081767,4919828,1786,2,7.0,0,刘***,小区活动空间被占用,蛟龙港欧香名苑小区因为历史原因，高层欧香名苑和低层欧香苑用防护网隔离开了，导致本就不大的小区业主活动地方就很少了，现在欧香名苑楼下的一...,1649569549,117.139.249.*,办理中,待回复,线下交办,0,0,双流区委书记,投诉,城建,客户端,,,,,0,1,,,,,,,0,0,1649662196, 四川省 成都市,False,2022-04-10
5,14081730,6481863,2820,2,1.0,0,天***,在东莞村被骗高价购买铁皮石斛,我又原路返回去找摊位老板退货，可他们已经离开了，后来我就询问了隔离摊的老板，说卖石斛的11点左右离开的，他们每个星期周日都换不同的人来...,1649569284,112.96.109.*,待回复,待回复,未交办,0,0,花都区委书记,投诉,治安,客户端,,,,,0,1,,,,,,,0,0,1649661939, 广东省 广州市,False,2022-04-10
6,14080445,6481260,2824,5,10.0,0,星***,建议村委防疫广播勿一整天无间断播放,各地播放防疫广播对宣传防疫信息固然重要，但每天一整天都在播放属实扰民，希望能科学安排间断区间时间播放，村委应当通过多种方式宣传防疫工作，如积极指引来穗务工人员登记健康信息，微信及公众号指导村民做好居家...,1649560822,113.66.13.*,办理中,待回复,线下交办,0,0,从化区委书记,建言,文娱,手机浏览器,,,,,0,1,,,,,,,0,0,1649661939, 广东省 广州市,False,2022-04-10
7,14079215,6453440,815,2,12.0,0,杨***,我从未出行过，不清楚为何健康码变成黄码了,2022.4.5下午查询健康码变成黄码了，本人未离开过保定市区，目前居家隔离中每天做核酸检测，发现还有另外一个核酸检测结果也出现在我的...,1649553499,110.229.120.*,办理中,待回复,线下交办,0,0,保定市委书记党晓龙,投诉,医疗,PC浏览器,,,,,0,1,0.0,,,,,,0,1,1649659294, 河北省 保定市,False,2022-04-10
8,14078475,6480463,539,6,2.0,0,s***,北京小汽车摇号居住证过期审核失败问题咨询,领导好，由于疫情原因，前几个月居家隔离忘记了续签北京居住证，今年4月9日查询小客车申请审核状态为审核失败：失败原因为非本市居民且未持本...,1649547617,115.171.23.*,办理中,待回复,线下交办,0,0,北京市委书记蔡奇,求助,政务,客户端,,,,,0,1,,,,,,,0,0,1649558228, 北京市,False,2022-04-09
9,14077850,6480322,2843,6,12.0,0,躺***,隔离发票,领导您好，我是2022年2月24日在韶关曲江区集中隔离了7天，我就是想要开个发票报销，现在一个多月了还在处理不能开发票，恳求麻烦政府部...,1649528048,223.104.71.*,待回复,待回复,未交办,0,0,曲江区委书记,求助,医疗,手机浏览器,,,,,0,1,0.0,,,,,,0,1,1649642316, 北京市,False,2022-04-09
