,tid,userId,fid,typeId,domainId,topicId,nickName,subject,content,dateline,ip,stateInfo,traceInfo,processInfo,hasReported,favNum,forumName,typeName,domainName,sourceName,answerId,answerContent,answerDateline,answerOrganization,userType,threadState,publicAttachment,userFavStatus,grade,gradeLevel,gradeManner,gradeSpeed,trashRecheckState,attachment,threadsCheckTime,from,shisiwu,date
0,14103773,2158767,555,6,2.0,116,p***,给上海市封闭抗疫配药难的求助建议！,"给上海市封闭抗疫配药难的求助建议！
1.目前许多居委会焦头烂额，只配有一辆助动车，确实没有能力跑比较远的医院帮居民配药，而小区志愿者很...",1649734348,101.88.137.*,待回复,待回复,未交办,0,0,上海市委书记李强,求助,政务,客户端,,,,,0,1,,,,,,,0,0,1649769596, 上海市,False,2022-04-12
1,14102897,6454626,967,1,11.0,0,a***,咨询补贴,我于2022年3月21日起在上海市浦东新区北蔡镇4567弄莲康苑参与封闭小区防疫工作已近一月，想咨询一下有没有防疫补贴。,1649731161,39.144.44.*,待回复,待回复,未交办,0,0,浦东新区区委书记朱芝松,咨询,就业,客户端,,,,,0,1,,,,,,,0,0,1649769596, 北京市,False,2022-04-12
2,14102742,1528953,944,2,4.0,0,刘***,上海小度技术有限公司不守信用，不兑现承诺,上海小度技术有限公司3月底开展小度创世数字藏品促销活动，承诺消费者推广500人，免费空投故宫博物院数字藏品《听琴图》。,1649730602,219.146.86.*,待回复,待回复,未交办,0,0,黄浦区区长沈山州,投诉,企业,微信小程序,,,,,0,1,0.0,,,,,,0,1,1649769596, 山东省 青岛市,False,2022-04-12
3,14100877,2379034,555,5,12.0,0,勇***,抗疫建言,只有没有流动，才能阻断感染源， 6：封控必须做好准备，建立网格员群，对于市民的生活必需品，在群里和网格员沟通，然后由志愿者进行投送，有病就医的，要有负责的网格员沟通120，确保有病可医，如果做到，15...,1649722273,39.144.100.*,待回复,待回复,未交办,0,0,上海市委书记李强,建言,医疗,客户端,,,,,0,1,,,,,,,0,0,1649768629, 北京市,False,2022-04-12
4,14099762,3874106,555,6,4.0,0,那***,拖欠资金,上海**文化传播有限公司李*宏未按时间期限归还我2.5万人民币，把我电话微信都拉黑了。希望领导能给帮忙解决一下。,1649697371,183.197.233.*,待回复,待回复,未交办,0,0,上海市委书记李强,求助,企业,客户端,,,,,0,1,0.0,,,,,,0,1,1649726942, 河北省 石家庄市,False,2022-04-11
5,14095535,6488033,968,1,6.0,116,W***,上海浦东机场坐飞机,"家里孩子20号要出国上学去，从南京要到上海浦东机场坐飞机出国。现在私家车能开到机场送人吗？需要提前办理什么手续或申报？
如果坐高铁到了...",1649668908,58.213.28.*,待回复,待回复,未交办,0,0,浦东新区区长杭迎伟,咨询,交通,客户端,,,,,0,1,,,,,,,0,0,1649725512, 江苏省 南京市,False,2022-04-11
6,14095466,6314907,985,6,12.0,0,W***,孩子生病治疗费用已经超过60万寻求政府救助,尊敬的领导您好，本人孩子自上年患“慢性活动性eb病毒感染”以来，先后在徐州儿童医院、上海复旦儿科、北京京都儿童医院治疗，2021年住院...,1649668588,120.245.112.*,待回复,待回复,未交办,0,0,徐州市委书记,求助,医疗,微信小程序,,,,,0,1,0.0,,,,,,0,1,1649776747, 北京市,False,2022-04-11
7,14094819,6488504,555,6,14.0,0,芳***,上海平安智慧教育科技有限公司,投诉上海平安智慧教育科技有限公司旗下的平安好学成人英语在线教育诱导报课，教学质量差，霸王条款拒不退费的行为，请求解约赔偿！,1649665892,14.123.224.*,待回复,待回复,未交办,0,0,上海市委书记李强,求助,教育,PC浏览器,,,,,0,1,0.0,,,,,,0,1,1649726942, 广东省 广州市,False,2022-04-11
8,14092954,3138930,760,1,7.0,0,q***,经二路北端瀛海家园畅园东侧空地有何安排,如果连上海燕春秋的空地就空地更大了。目前该处只是简单种了几棵树，是否可以平整后给周边居民安些健身器材呢？,1649657839,222.249.237.*,待回复,待回复,未交办,0,1,大兴区区长刘学亮,咨询,城建,PC浏览器,,,,,0,1,,,,,,,0,0,1649738922, 北京市,False,2022-04-11
9,14092308,6487047,953,9,7.0,116,i***,一封来自长寿街道大上海城市花园二胎妈妈的感谢,表达在疫情期间对长寿街道大上海城市花园居委的感谢，帮助我寻找到丢失的宝宝奶粉，特此感谢居委主任朱**以及居委委员石**，谢谢,1649654571,124.78.41.*,待回复,待回复,未交办,0,0,普陀区委书记姜冬冬,感谢,城建,手机浏览器,,,,,0,1,0.0,,,,,,0,1,1649726942, 上海市,False,2022-04-11
0,14092298,6486984,555,2,4.0,0,湖***,投诉,并告知了拼多多平台所在地上海市长宁区市场监管局，但没有被处理。导致该商家一直在拼多多平台销售三无产品。,1649654518,223.155.173.*,待回复,待回复,未交办,0,0,上海市委书记李强,投诉,企业,手机浏览器,,,,,0,1,0.0,,,,,,0,1,1649727100, 湖南省 岳阳市,False,2022-04-11
1,14091377,6486435,746,6,12.0,0,雷***,办理医保转出但系统无法打印医保参保凭证 ,领导您好，我于2015—2017年北京参保，现于上海工作，需要转移社保，登录北京市社会保险网上服务平台，进入网页点击无任何反应，换了电...,1649650032,106.8.70.*,待回复,待回复,未交办,0,0,丰台区区长初军威,求助,医疗,PC浏览器,,,,,0,1,0.0,,,,,,0,1,1649757786, 河北省 廊坊市,False,2022-04-11
2,14091060,6486378,5069,5,,116,Z***,关于疫情防控常态化的一点建议,由于奥密克戎毒株极强的传染能力，最近疫情防控形势极为严峻，尤其是上海，深圳，广州等特大城市人口密集，一旦出现本土疫情传播速度极快。且这...,1649648762,49.93.166.*,待回复,待回复,未交办,0,0,国家卫生健康委员会主任、党组书记马晓伟,建言,,手机浏览器,,,,,0,1,,,,,,,0,0,1649668674, 江苏省 南京市,False,2022-04-11
3,14090783,6485843,957,2,14.0,0,l***,投诉上海高顿教育科技有限公司霸王合同退款缓慢,尊敬的领导，您好！我于2021年7月9日购买了高顿财经的acca网课ACCA Mpacc直通计划（澳洲），于今年3月初申请退款但是进度十分缓慢，由于我身处国外，高顿澳洲分公司人员的服务非常随意，不予更...,1649647582,120.159.188.*,待回复,待回复,未交办,0,0,虹口区委书记郭芳,投诉,教育,PC浏览器,,,,,0,1,0.0,,,,,,0,1,1649726942,热心网友,False,2022-04-11
4,14090214,6485875,1038,5,2.0,116,Z***,新形势下的新冠疫情防控建议,本次的上海奥密克戎疫情的爆发提醒人们，发现病例时的疫情扩散程度决定着接下来防控的难度。疫情扩散程度与防控难度呈指数型正相关。这次变异株...,1649645532,60.174.162.*,待回复,待回复,未交办,0,0,马鞍山市市长袁方,建言,政务,PC浏览器,,,,,0,1,,,,,,,0,0,1649725512, 安徽省 马鞍山市,False,2022-04-11
5,14090096,6467746,2827,2,14.0,0,g***,成人培训机构广告宣传与实际情况不符,对该公司广告宣传与实际情况不符的行为予以惩戒事件经过：深圳市世纪卓越管理咨询有限公司总经理助理余晓君向本人销售CPSM采购供应链培训课程过程中，宣称该公司在全国有若干CPSM课程授课地点（深圳、武汉、...,1649644966,182.140.153.*,办理中,待回复,线上交办,0,0,南山区委书记,投诉,教育,PC浏览器,,,,,0,1,0.0,,,,,,0,1,1649745064, 四川省 成都市,False,2022-04-11
6,14089742,3298043,555,5,2.0,116,Z***,关于上海防疫的建议（先行重点应对外围5区）,尊敬的市领导和市卫健委领导你们好：看到我们上海疫情目前还处于高发期，我也不停的在想办法，也提了其它意见，也报名参加了志愿者。希望为抗击...,1649643521,36.18.38.*,待回复,待回复,未交办,0,1,上海市委书记李强,建言,政务,PC浏览器,,,,,0,1,1.0,,,,,,0,1,1649725512, 浙江省 杭州市,False,2022-04-11
7,14087204,4629728,545,5,12.0,0,晓***,关于推行“核酸码”的建议,在经历了上一轮太原市尖草坪区防控，以及此轮疫情，综合看天津、上海的经验。希望可以依托类似“三晋通”的政府类app设置“核酸码”，更高效...,1649612817,120.208.98.*,待回复,待回复,未交办,0,0,山西省委书记林武,建言,医疗,客户端,,,,,0,1,,,,,,,0,0,1649768629, 山西省 长治市,False,2022-04-10
8,14086413,6484316,5194,2,11.0,0,W***,领导吞了员工工资跑路了,10000元，而且2个月过去了联系不上人，跑路了，原公司在钱塘区驿淘数字创新园1210，后面不发工资公司都搬空了，联系不上，负责人张*鹏电话1735577****，微信（微冷）也把我屏蔽了，我们对接的...,1649602071,115.206.17.*,待回复,待回复,未交办,0,0,钱塘区委书记,投诉,就业,微信小程序,,,,,0,1,0.0,,,,,,0,1,1649748405, 浙江省 杭州市,False,2022-04-10
9,14086153,4461521,555,5,13.0,116,X***,小区电商团购,我是上海市奉贤区南桥镇运河新村小区电商团购团长。我希望政府想一个办法让每个小区做为团长的开通，顾客在我们这边买东西，买好之后，就放在小...,1649600425,223.104.211.*,待回复,待回复,未交办,0,0,上海市委书记李强,建言,环保,手机浏览器,,,,,0,1,,,,,,,0,0,1649642084, 北京市,False,2022-04-10
0,14085819,2379034,555,5,12.0,116,勇***,从吉林抗疫，为上海提点建议,对轻微小区，可以二十混一，严重一些的十混一，特殊严重的单人单管进行，既节约资源，也能推进速度，对于前台医生护士，做核酸的时候，必须消好毒，不能把上一个人的病毒，传染给下一个人，追求效率的同时更要保证质...,1649598399,39.144.100.*,待回复,待回复,未交办,0,1,上海市委书记李强,建言,医疗,客户端,,,,,0,1,,,,,,,0,0,1649642084, 北京市,False,2022-04-10
1,14083640,2587020,549,5,10.0,0,Z***,坚决制止普兰店区站前广场聚集跳广场舞问题。,目前防控疫情形势依然是特别严峻，这些老年人竟然聚集在一起跳舞，给防控疫情带来很大的隐患，吉林省上海市等其他地方正在为防控疫情在拼搏在战...,1649582577,36.129.31.*,办理中,待回复,线下交办,0,0,辽宁省委书记张国清,建言,文娱,PC浏览器,,,,,0,1,,,,,,,0,0,1649768629, 北京市,False,2022-04-10
2,14081082,6481580,3477,1,14.0,0,W***,大连金地城公寓能上海事附么？享受指标到校么？,"各位领导及相关负责人，您好：

近期因一直在考虑家中孩子上学入学问题，也查询到由家村附近大连金地城项目有大连海事附校分校的建设规划，关于其中公寓产品是否能<label style='color:red...",1649564795,223.104.237.*,待回复,待回复,未交办,0,0,甘井子区委书记,咨询,教育,PC浏览器,,,,,0,1,,,,,,,0,0,1649668293, 北京市,False,2022-04-10
3,14080990,5060642,947,6,2.0,0,W***,徐汇长桥街道生活保障,上海徐汇长桥街道，我们是老小区，很多独居老人、低收入人群，不少人没有智能手机抢菜，药也买不到。一对八十岁的老夫妻在群里说他们的高血压药...,1649564174,139.227.86.*,待回复,待回复,未交办,0,0,徐汇区委书记曹立强,求助,政务,微信小程序,,,,,0,1,,,,,,,0,0,1649583884, 上海市,False,2022-04-10
4,14080369,6481286,555,6,12.0,116,Z***,母婴用品急需,上海发布中的爱他美奶粉，偏远地区不配送，实体店叫不到闪送，母婴群也抢不到，抢到了也很难叫闪送。,1649560399,39.144.105.*,待回复,待回复,未交办,0,0,上海市委书记李强,求助,医疗,手机浏览器,,,,,0,1,,,,,,,0,0,1649583884, 北京市,False,2022-04-10
5,14080248,5618234,1050,5,12.0,0,天***,建议阜阳市借鉴上海广州防疫政策，分级分类防控,建议阜阳市借鉴上海、广州防疫政策，分级分类防控。阜阳市静态管理已有五六天之久，今天进行第四次核检，对生活多有不便。,1649559690,114.101.13.*,待回复,待回复,未交办,0,1,阜阳市市长刘玉杰,建言,医疗,客户端,,,,,0,1,,,,,,,0,0,1649668293, 安徽省 蚌埠市,False,2022-04-10
6,14080025,4462569,951,6,2.0,116,H***,上海华纺小区能不能发点菜？自己团购太难了,上海静安区华纺小区能不能发点菜？目前业主们自己组织团购太难了！谢谢啦！你们也辛苦啦！一起加油！抗疫必胜！谢谢！,1649558461,114.96.173.*,待回复,待回复,未交办,0,1,静安区委书记于勇,求助,政务,客户端,,,,,0,1,,,,,,,0,0,1649583884, 安徽省 合肥市,False,2022-04-10
7,14079608,6480878,1395,6,2.0,0,小***,为什么我没有补助,各位领导，你们好，我是甘肃省天水市清水县人，我在上海打工，因受疫情影响，我在上海</...,1649555857,114.85.128.*,待回复,待回复,未交办,0,0,天水市委书记张永霞,求助,政务,手机浏览器,,,,,0,1,0.0,,,,,,0,1,1649768629, 上海市,False,2022-04-10
8,14079374,6480806,556,5,2.0,0,沧***,关于上海疫情期间，民生保障的一点建议,关于上海疫情期间，民生保障的一点建议：政府集中统一调配配送作为基本保障+网上买菜配送作为补充尊敬的<label style='colo...,1649554373,120.202.35.*,待回复,待回复,未交办,0,1,上海市市长龚正,建言,政务,PC浏览器,,,,,0,1,,,,,,,0,0,1649583884, 湖北省 武汉市,False,2022-04-10
