,tid,userId,fid,typeId,domainId,topicId,nickName,subject,content,dateline,ip,stateInfo,traceInfo,processInfo,hasReported,favNum,forumName,typeName,domainName,sourceName,answerId,answerContent,answerDateline,answerOrganization,userType,threadState,publicAttachment,userFavStatus,grade,gradeLevel,gradeManner,gradeSpeed,trashRecheckState,attachment,threadsCheckTime,from,mobile,tag,shisiwu,date
0,14511197,6552692,1572,1,14.0,116,上***,关于疫情之下不能如期参加教师资格证面试的问题,今天打电话咨询了亳州市疫情防控问题，（之前一直没打通）说需要隔离七天，但是目前因为工作原因不能请一个星期假回去参加考试，而且就算可以，...,1651802520,39.144.38.*,待回复,待回复,未交办,0,0,亳州市委书记杜延安,咨询,教育,客户端,,,,,0,1,0.0,,,,,,0,1,1651814288, 北京市,,,False,2022-05-06
1,14505789,6726646,805,2,7.0,0,W***,恒辉物业乱收费,1.延期违约金2.物业费高3.物业降低标准4.回迁不隔离5.至今园区大门未建成6.人车分流问题7.未按照购房承诺兑现相应配套设备（热水...,1651760284,106.119.58.*,办理中,待回复,线上交办,0,1,石家庄市委书记张超超,投诉,城建,微信小程序,,,,,0,1,,,,,,,0,0,1651819406, 河北省,,,False,2022-05-05
2,14502202,6724426,539,6,1.0,0,等***,【急】北京市小客车指标管理信息系统审核不通过,由于系统并未注明审核什么时候能查询到审核结果，也不可能每天都登录系统进行查询结果，同时由于4月份疫情居家隔离，对于审核失败并不知情。审...,1651744789,123.123.44.*,办理中,待回复,线下交办,0,0,北京市委书记蔡奇,求助,治安,PC浏览器,,,,,0,1,,,,,,,0,0,1651810312, 北京市,,,False,2022-05-05
3,14501417,6558782,1135,6,6.0,0,陌***,驾驶证因为未体检，被锁,然后第二天又回了湖南怀化上班，然后没过几天又五一放假了，今天已经正常上班，但是还没给我解锁，由于去了一趟郑州，目前我都在宾馆隔离当中，...,1651742317,120.226.215.*,办理中,待回复,线下交办,0,0,郑州市委书记安伟,求助,交通,手机浏览器,,,,,0,1,,,,,,,0,0,1651813524, 河南省,,,False,2022-05-05
4,14501366,3204431,1343,6,7.0,0,c***,老人民医院东门人行道诉求,关于在保山市人民医院东大门 ，太保北路中心隔离栏上开设人行通道的请求。,1651742169,117.136.80.*,待回复,待回复,未交办,0,0,保山市委书记杨军,求助,城建,客户端,,,,,0,1,,,,,,,0,0,1651813524, 北京市,,,False,2022-05-05
5,14497503,5643767,576,2,7.0,0,邹***,深圳市桂园街道和平广场6楼违建,和平广场六楼违建投诉1、小区原设计图，6楼为架空层，现在六楼玉庭轩架空层被隔离出很多员工宿舍，人口密集，在里面电线、煤气罐全部具体，具...,1651731898,121.15.165.*,待回复,待回复,未交办,0,0,广东省省长王伟中,投诉,城建,微信小程序,,,,,0,1,0.0,,,,,,0,1,1651809254, 广东省 深圳市,,,False,2022-05-05
6,14493514,6718610,4163,1,2.0,0,H***,为什么在泰兴租的房子不可以用来隔离,现在的问题是自己的毛坯房不符合隔离条件。阳光五季租住的房子，符合隔离...,1651720520,117.94.205.*,待回复,待回复,未交办,0,0,泰兴市委书记,咨询,政务,PC浏览器,,,,,0,1,,,,,,,0,0,1651793750, 江苏省 泰州市,,,False,2022-05-05
7,14492394,6718290,554,5,1.0,0,H***,请整治一些城市的过度防疫现象,我们在牡丹江市区上班，家在东宁，周末需要往返通勤，但是在牡丹江市区无病例的情况下，我们持24小时核酸报告回东宁，仍然要求居家隔离三天，...,1651718514,221.206.60.*,办理中,待回复,线上交办,0,3,黑龙江省省长胡昌升,建言,治安,黑龙江省政府网站,,,,,0,1,,,,,,,0,0,1651729882, 黑龙江省 牡丹江市,,,False,2022-05-05
8,14490290,4936207,811,2,7.0,0,S***,拒绝尘土飞扬，请把小草还给我们,这一片绿化带还可以隔离南环路上车流带来的尘土。保护环境，美化家园，请领导百忙之中抽空管理一下吧，还我们一个青青草地，绿色家园。,1651712998,183.199.95.*,待回复,待回复,未交办,0,0,邯郸市委书记张维亮,投诉,城建,客户端,,,,,0,1,0.0,,,,,,0,1,1651731610, 河北省,,,False,2022-05-05
9,14489589,2391030,1260,2,1.0,0,W***,建议玉洞大道夜间泥头车限行,同时也恳请政府为玉洞大道建设防噪音隔离板。以保证两侧居民正常休息的基本权益。,1651709986,223.104.90.*,办理中,待回复,线下交办,0,2,南宁市市长廖立勇,投诉,治安,微信小程序,,,,,0,1,,,,,,,0,0,1651721980, 北京市,,,False,2022-05-05
