,tid,userId,fid,typeId,domainId,topicId,nickName,subject,content,dateline,ip,stateInfo,traceInfo,processInfo,hasReported,favNum,forumName,typeName,domainName,sourceName,answerId,answerContent,answerDateline,answerOrganization,userType,threadState,publicAttachment,userFavStatus,grade,gradeLevel,gradeManner,gradeSpeed,trashRecheckState,attachment,threadsCheckTime,from,mobile,tag,shisiwu,date
0,15103091,2382509,584,2,6.0,0,w***,跑车长期深夜炸街，严重影响群众休息,"西派城D区租住户，长期驾驶两台上海牌照的改装跑车，深夜出行故意深踩油门，发动机声音巨大。严重影响晚上休息及严重影响小朋友睡眠。
多次反...",1655305817,171.88.68.*,待回复,待回复,未交办,0,0,四川省省长黄强,投诉,交通,客户端,,,,,0,1,0.0,,,,,,0,3,1655392976, 四川省 成都市,,,False,2022-06-15
1,15102708,2382509,1289,2,6.0,0,w***,跑车长期深夜炸街，严重影响居民正常生活,西派城D区一租住户，两台上海户籍车辆长期深夜出行，深踩油门发动机轰鸣声巨大，经常深夜被惊醒，严重影响正常的休息。严重影响娃娃的睡眠。多...,1655303801,171.88.68.*,待回复,待回复,未交办,0,0,成都市委书记施小琳,投诉,交通,客户端,,,,,0,1,0.0,,,,,,0,1,1655391048, 四川省 成都市,,,False,2022-06-15
2,15097241,1391419,593,1,1.0,0,g***,取消中午时间段小型货车限行政策,尊敬的领导，受新冠疫情影响，兰州的各行各业经济萧条，难以维持，特别是今年以来受兰州疫情和上海疫情的影响，企业经营困难，举步维艰，特别是...,1655275894,125.75.18.*,待回复,待回复,未交办,0,0,甘肃省委书记尹弘,咨询,治安,客户端,,,,,0,1,,,,,,,0,0,1655361677, 甘肃省 兰州市,,,False,2022-06-15
3,15096802,7041307,592,2,2.0,0,1***,养老保险转移到上海,我先生已经在上海工作多年，他原来在陕西省的养老保险需要转移到上海。陕...,1655273600,36.40.226.*,待回复,待回复,未交办,0,0,陕西省省长赵一德,投诉,政务,客户端,,,,,0,1,,,,,,,0,0,1655382003, 陕西省 西安市,,,False,2022-06-15
4,15095875,3098914,1143,9,6.0,0,浮***,感谢市领导对焦作铁路发展做出的贡献！,从老新月线一天仅有的5对车，到了现在120多趟日常线办理客运业务，并且已经拥有北京上海深圳广州杭州太原的长途始发车次，在全国地级市算是...,1655268349,42.234.19.*,待回复,待回复,未交办,0,0,焦作市委书记葛巧红,感谢,交通,客户端,,,,,0,1,,,,,,,0,0,1655361144, 河南省 郑州市,,,False,2022-06-15
5,15095730,7040840,555,1,11.0,0,W***,上海事业编考试,上海事业编考试时间因疫情延期，三月份考试报名的时候是以应届生身份报名，现在目前六月中旬，我们即将要毕业了，但是考试时间却还没有确定。,1655267624,101.86.182.*,待回复,待回复,未交办,0,0,上海市委书记李强,咨询,就业,微信小程序,,,,,0,1,,,,,,,0,0,1655279723, 上海市,,,False,2022-06-15
6,15095297,2510397,1165,2,7.0,0,阳***,养狗安全隐患,沈丘县上海城小区（槐园公园南50米路西）养狗户很多，流浪狗也多，不栓绳、不牵引、不看管，在小区里面随意放养，小区小孩很多，入住率很高，...,1655265384,114.105.100.*,待回复,待回复,未交办,0,0,周口市委书记张建慧,投诉,城建,PC浏览器,,,,,0,1,,,,,,,0,0,1655372948, 安徽省 合肥市,,,False,2022-06-15
7,15095295,7040612,1329,6,7.0,0,W***,上海路路改还房,我是原上海路花园商贸城的住户，2018年政府路改选择还房，并和政府签订拆迁协议！,1655265364,1.205.129.*,待回复,待回复,未交办,0,0,遵义市委书记李睿,求助,城建,微信小程序,,,,,0,1,,,,,,,0,0,1655361144, 贵州省 贵阳市,,,False,2022-06-15
8,15094755,7040108,997,6,11.0,0,柳***,求助,2022年5月，我被确诊为宫颈癌中晚期，积极与病魔作斗争，6月初我来到上海进行后续的放化疗。,1655262965,223.67.185.*,待回复,待回复,未交办,0,0,盐城市委书记徐缨,求助,就业,PC浏览器,,,,,0,1,0.0,,,,,,0,1,1655372948, 江苏省 盐城市,,,False,2022-06-15
9,15093710,7039812,4118,1,12.0,0,皮***,产假延长的问题,您好，我是通州区上海展*电子有限公司的一名员工，目前卫健委已早将江苏省产假延长至158天的红头文件下达至各地区，各地区也已开始实行，但...,1655258553,58.221.214.*,已办理,已一次评价,线上交办,0,0,通州区委书记,咨询,医疗,PC浏览器,,,,,0,1,,,5.0,5.0,5.0,5.0,0,0,1655279723, 江苏省 南通市,,,False,2022-06-15
0,15093438,5005206,556,2,6.0,0,郑***,京东快递15天卡在上海不派送 还不接受投诉,市长您好，我是外地的一个普通市民，我向上海市发送了一个京东快递，从5月29日就没有物流变化，经多多次投诉，在6月15日给我回电话说到站...,1655257421,61.137.151.*,待回复,待回复,未交办,0,0,上海市市长龚正,投诉,交通,手机浏览器,,,,,0,1,0.0,,,,,,0,1,1655279723, 辽宁省 抚顺市,,,False,2022-06-15
1,15092956,4686548,830,6,7.0,0,龚***,请求市政府帮忙让物业和房地产给维修泡坏的家具,在发现房子被水泡后，找物业和楼上协商处理，物业和楼上来现场看后，就一直都表示不是他们的责任，不予管理，后再找几次，说是房地产的问题，由物业找房地产（上...,1655255394,211.90.113.*,待回复,待回复,未交办,0,0,大同市市长张强,求助,城建,PC浏览器,,,,,0,1,1.0,,,,,,0,1,1655279723, 江苏省 南京市,,,False,2022-06-15
2,15092704,2771356,1043,5,2.0,0,车***,离沪返乡政策是否可以放宽一些,领导，您好，目前上海疫情趋于稳定，合肥市离沪返乡政策已经改为4+3，安庆是否也可以将目前7+7改为4+3，谢谢！,1655254137,36.63.120.*,办理中,待回复,线下交办,0,0,安庆市委书记张祥安,建言,政务,微信小程序,,,,,0,1,,,,,,,0,0,1655279723, 安徽省 合肥市,,,False,2022-06-15
3,15090328,7038550,957,2,14.0,0,求***,投诉,尊敬的上海市领导：鉴于我支付10800元人民币却并未实际使用对方课程，未享受到合同权利。高*其一拒不延期，其二拒不退费，双方沟通失败。...,1655218265,113.89.203.*,待回复,待回复,未交办,0,0,虹口区委书记郭芳,投诉,教育,PC浏览器,,,,,0,1,0.0,,,,,,0,1,1655279723, 广东省 深圳市,,,False,2022-06-14
4,15089921,7036647,968,2,4.0,0,9***,欺骗消费者,在规定时间内我买了16单，有两单收货地址是上海，因为疫情原因延迟了很久发货，导致我在活动期间没办法全部确认收货，没办法获得随机免一单。,1655216074,58.19.93.*,待回复,待回复,未交办,0,0,浦东新区区长杭迎伟,投诉,企业,微信小程序,,,,,0,1,0.0,,,,,,0,1,1655279723, 湖北省 武汉市,,,False,2022-06-14
5,15089459,7038273,944,1,11.0,0,墨***,上海市黄浦区流动团组织联系方式,1.应届毕业生，学校需转接团组织关系，马上去上海准备工作，求一个上海...,1655213765,222.246.61.*,待回复,待回复,未交办,0,0,黄浦区区长沈山州,咨询,就业,手机浏览器,,,,,0,1,,,,,,,0,0,1655279723, 湖南省 常德市,,,False,2022-06-14
6,15089032,3379116,555,2,6.0,0,m***,上海市铁路局所属南翔编组站严重扰民,我是南翔季景铭郡居民，上海市铁路局所属南翔编组站每天尖锐的刹车声和鸣笛声不分昼夜，高额的房价买来噪音，严重影响附近居民的正常生活，编组...,1655211415,101.85.28.*,待回复,待回复,未交办,0,0,上海市委书记李强,投诉,交通,客户端,,,,,0,1,,,,,,,0,0,1655279723, 上海市,,,False,2022-06-14
7,15088988,6327841,962,6,7.0,0,张***,顶层机房噪音扰民,"尊敬的区长    您好,我是上海宝山宝盘丽景苑业主，一名70岁高龄的老人,现实名投诉...",1655211194,101.224.107.*,待回复,待回复,未交办,0,0,宝山区区长高奕奕,求助,城建,客户端,,,,,0,1,,,,,,,0,0,1655279723, 上海市,,,False,2022-06-14
8,15088550,7037915,555,1,11.0,0,项***,上海应届毕业生入伍退伍当年能否参加当年公考,近年多地为本地高校入伍的推出退役大学生公务员岗位，了解到应届生毕业入伍退伍后一年才能办理落户手续，咨询2022年上海公务员市考应届退役...,1655208512,101.229.120.*,待回复,待回复,未交办,0,0,上海市委书记李强,咨询,就业,PC浏览器,,,,,0,1,,,,,,,0,0,1655279723, 上海市,,,False,2022-06-14
9,15088546,2823534,4441,1,5.0,0,S***,上海返乡,现在上海返乡咱们这边什么政策，隔离是自费还是免费啊？,1655208481,117.136.117.*,待回复,待回复,未交办,0,1,蜀山区委书记,咨询,旅游,客户端,,,,,0,1,,,,,,,0,0,1655279723, 北京市,,,False,2022-06-14
0,15087126,4834878,2490,5,7.0,0,E***,城区部分路口无交通信号灯问题,以下是我个人总结出的部分未安装交通信号灯的路口：学苑路淮海路口、未来大道淮海路口、丹阳大道学苑路口、未来大道丹阳大道兴中道三叉口、淮海路淮河路口、淮河路天平路口、天平路未来大道路口、兴中道<label...,1655199978,39.162.229.*,办理中,待回复,线下交办,0,0,柘城县委书记,建言,城建,客户端,,,,,0,1,,,,,,,0,0,1655279723, 北京市,,,False,2022-06-14
1,15086386,7036734,555,6,2.0,0,f***,毕业后团组织关系无法转出,您好，我是2022届毕业生，正在申请转入的团组织是我的居住地上海市闵行区江川路街道流动团员团支部。按照相关规定，未落实升学就业去向或公...,1655196490,117.149.22.*,待回复,待回复,未交办,0,0,上海市委书记李强,求助,政务,PC浏览器,,,,,0,1,,,,,,,0,0,1655279723, 浙江省 杭州市,,,False,2022-06-14
2,15083919,7035299,555,1,4.0,0,E***,拖延客户合理退款,2021年12月21日，本人在微信沪遇优选小程序购买两份深坑自助餐团购，金额776元，收款人为上海xx文化传播有限公司。购买时写明未使...,1655186008,183.193.179.*,待回复,待回复,未交办,0,0,上海市委书记李强,咨询,企业,客户端,,,,,0,1,0.0,,,,,,0,1,1655350551, 上海市,,,False,2022-06-14
3,15083442,7033895,2235,2,7.0,0,s***,物业电动车充电桩费用太贵,就连上海一线城市，一元都可以充四小时，他居然收的比上海还贵！锦绣华府...,1655183279,117.153.234.*,待回复,待回复,未交办,0,0,大悟县委书记,投诉,城建,手机浏览器,,,,,0,1,,,,,,,0,0,1655279723, 北京市,,,False,2022-06-14
4,15083172,7034912,959,6,14.0,0,n***,团员关系转接,我是一名应届毕业生，想要把团员关系从学校转接入上海市杨浦区长白街道团工委，我的居住地就是在这里的。,1655181987,183.193.133.*,待回复,待回复,未交办,0,0,杨浦区委书记谢坚钢,求助,教育,客户端,,,,,0,1,,,,,,,0,0,1655279723, 上海市,,,False,2022-06-14
5,15082798,7021160,961,6,4.0,0,j***,投诉宝山区市场监督管理局,我当时在淘宝店铺上海市宝山区乐宏食品店花了498元买了一款植物酵素    收到货后发现是无中文产品     于是我投诉到宝山区市场监督...,1655180271,119.39.248.*,待回复,待回复,未交办,0,0,宝山区委书记陈杰,求助,企业,客户端,,,,,0,1,0.0,,,,,,0,1,1655279723, 湖南省 长沙市,,,False,2022-06-14
6,15082697,6785802,4441,2,7.0,0,W***,新加坡花园城小区北门何时开？,1.自上海疫情发生以来，新加坡花园城小区北门就封闭了，仅靠南门一个门进出（该小区一万多户居民，南北距离一公里多，且还有小学、幼儿园坐落...,1655179758,117.136.103.*,待回复,待回复,未交办,0,0,蜀山区委书记,投诉,城建,微信小程序,,,,,0,1,,,,,,,0,0,1655279723, 北京市,,,False,2022-06-14
7,15082683,7034735,966,6,11.0,0,W***,公司恶意欠薪,上海实***有限公司拖欠了我4月份的工资不给，然后5月份单方面跟我解除劳动，被迫离职，拖欠工资，拖欠经济补偿金。至今工资未结清。,1655179649,120.244.28.*,待回复,待回复,未交办,0,0,嘉定区区长高香,求助,就业,微信小程序,,,,,0,1,,,,,,,0,0,1655279723, 北京市,,,False,2022-06-14
